4	 &0.000013	 &1	\\ \hline
12	 &0.000042	 &2	\\ \hline
20	 &0.000124	 &5	\\ \hline
11	 &0.000079	 &3	\\ \hline
7	 &0.000048	 &2	\\ \hline
11	 &0.000116	 &3	\\ \hline
20	 &0.000219	 &4	\\ \hline
30	 &0.000707	 &8	\\ \hline
40	 &0.001044	 &11	\\ \hline
50	 &0.003210	 &14	\\ \hline
80	 &0.008459	 &22	\\ \hline
100	 &0.010814	 &30	\\ \hline
120	 &0.018804	 &37	\\ \hline
150	 &0.028055	 &41	\\ \hline
200	 &0.066763	 &58	\\ \hline
250	 &0.131800	 &78	\\ \hline
12	 &0.000098	 &2	\\ \hline
12	 &0.000089	 &4	\\ \hline
12	 &0.000053	 &2	\\ \hline
12	 &0.000046	 &2	\\ \hline
12	 &0.000110	 &2	\\ \hline
12	 &0.000033	 &2	\\ \hline
12	 &0.000049	 &2	\\ \hline
12	 &0.000110	 &2	\\ \hline
12	 &0.000047	 &2	\\ \hline
12	 &0.000109	 &2	\\ \hline
12	 &0.000154	 &2	\\ \hline
