1
50
25/5 10/10
93/1 18/1
76/1 27/1
97/1 45/1
96/1 62/1
99/1 66/1
91/1 75/1
98/1 89/1
92/1 93/1
74/1 112/1
66/1 123/1
87/1 132/1
70/1 135/1
74/1 139/1
83/1 153/1
94/1 160/1
65/1 178/1
96/1 198/1
86/1 210/1
70/1 224/1
88/1 244/1
69/1 255/1
69/1 262/1
64/1 282/1
82/1 291/1
8/1 300/1
31/1 295/1
27/1 287/1
19/1 287/1
24/1 287/1
18/1 280/1
28/1 280/1
26/1 279/1
34/1 280/1
6/1 277/1
16/1 275/1
34/1 272/1
36/1 270/1
23/1 263/1
34/1 261/1
39/1 259/1
22/1 260/1
40/1 253/1
21/1 246/1
32/1 242/1
12/1 235/1
4/1 236/1
31/1 229/1
5/1 225/1
31/1 217/1
